Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Genre
Knocked Loose,Deadringer,49,0.396,0.954,11,-5.249,0,0.116,0.000135,1.92e-05,0.25,0.329,157.456,180097,4,metal
Exodus,Low Rider - War Cover,38,0.413,0.973,6,-5.776,0,0.135,3.46e-05,0.71,0.104,0.684,158.193,164880,4,metal
Miss May I,Forgive And Forget,50,0.51,0.987,1,-2.375,0,0.139,0.000172,0.0,0.27,0.147,114.999,212693,4,metal
Dimmu Borgir,Puritania,49,0.303,0.969,8,-2.466,1,0.162,9.03e-05,0.844,0.417,0.163,109.384,186488,5,metal
BRIDEAR,The Moment,31,0.504,0.956,7,-2.148,1,0.129,0.000274,0.028,0.042,0.46,99.983,195222,4,metal
Kadinja,Stone of Mourning,34,0.376,0.987,2,-3.882,1,0.23,2.13e-05,8.83e-06,0.179,0.274,75.052,219700,4,metal
Mergui,תני לי רגע,36,0.504,0.735,7,-4.667,0,0.244,0.139,0.000196,0.326,0.487,100.039,173246,4,pop
Tim Atlas,Wallflower,49,0.837,0.661,2,-7.052,1,0.0402,0.446,0.014,0.227,0.891,105.002,177498,4,pop
Ben Woodward,Memories (Acoustic),52,0.802,0.183,8,-17.1,1,0.403,0.809,0.0,0.109,0.664,91.078,183338,4,pop
Miri Mesika,אשה חרסינה,28,0.526,0.622,7,-5.492,0,0.0374,0.536,1.97e-05,0.251,0.224,123.958,249852,4,pop
Omer Adam,פעם בחיים,41,0.718,0.304,9,-10.176,1,0.0688,0.772,0.0,0.141,0.556,99.788,243187,4,pop
Nick Jonas,This Is Heaven,72,0.646,0.785,2,-4.801,0,0.0545,0.0377,0.0,0.0897,0.52,100.911,214624,4,pop
Saweetie,Fast (Motion),72,0.882,0.839,4,-3.193,1,0.082,0.156,0.0,0.132,0.71,117.032,170653,4,pop
Dudu Aharon,לא יכול בלעדייך,14,0.713,0.939,5,-3.609,0,0.0372,0.11,5.88e-06,0.331,0.88,108.034,179320,4,pop
Coldplay,The Scientist,83,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277,309600,4,pop
Sody,butterfly,54,0.588,0.625,0,-9.502,1,0.212,0.69,4.38e-06,0.0799,0.116,121.809,189013,4,pop
Dennis Lloyd,Anxious,67,0.669,0.745,6,-7.679,0,0.118,0.051,3.98e-06,0.107,0.439,100.963,176773,4,pop
Yung Gravy,oops!,76,0.886,0.743,6,-6.797,0,0.0812,0.0358,0.000198,0.0511,0.941,131.902,139760,4,pop
Stephane Legar,Comme ci comme ca,44,0.835,0.719,10,-5.551,0,0.127,0.123,0.0,0.159,0.878,128.02,171636,4,pop
Olivia Rodrigo,"1 step forward, 3 steps back",50,0.473,0.203,2,-12.627,1,0.102,0.941,0.0,0.126,0.419,168.884,163587,4,pop
Zachary Knowles,tendency to be a loner,48,0.733,0.427,7,-8.855,1,0.0344,0.672,0.0,0.14,0.603,119.996,196647,4,pop
Camp 8,Honey,31,0.655,0.404,9,-13.216,1,0.0354,0.516,0.0107,0.112,0.0706,108.022,263659,4,pop
HANNI,Talking To Myself In The Mirror,42,0.714,0.594,11,-8.379,1,0.0404,0.246,0.00388,0.0818,0.395,101.127,173465,4,pop
Kelvyn Boy,Visa - Remix,50,0.63,0.557,1,-6.164,1,0.131,0.311,0.0,0.155,0.603,103.68,242129,4,pop
Kenichi Takemoto,Bubbles,38,0.658,0.339,10,-11.831,1,0.0459,0.473,0.0,0.115,0.357,90.013,282692,4,pop
Osaka Blue,Use Me Up,18,0.657,0.806,11,-6.665,1,0.0519,0.102,0.0157,0.106,0.748,154.848,147600,4,pop
Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),78,0.661,0.723,5,-6.976,0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,163805,4,pop
Travis Scott,Goosebumps - Remix,91,0.841,0.593,1,-7.846,1,0.0379,0.418,0.0,0.124,0.808,124.917,162803,4,pop
Gil Vain,צבעים,45,0.728,0.552,9,-8.208,0,0.0489,0.803,0.0,0.126,0.732,140.068,207545,4,pop
Five,Everybody Get Up - Radio Edit,54,0.724,0.867,0,-5.913,1,0.08,0.00145,0.0,0.135,0.681,96.015,183733,4,pop
GRAE,Spinning,46,0.641,0.857,7,-7.572,1,0.0431,0.0388,0.727,0.339,0.781,150.0,188173,4,pop
Tai Verdes,A-O-K,71,0.731,0.626,11,-6.919,1,0.0805,0.125,0.0,0.183,0.862,82.488,173640,4,pop
Nicki Minaj,LLC,60,0.836,0.756,10,-5.441,0,0.124,0.0524,0.0291,0.0606,0.803,153.989,221853,4,pop
Tion Wayne,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",90,0.883,0.674,11,-8.043,0,0.357,0.21,0.0,0.0678,0.73,141.02,278085,4,pop
Dua Lipa,Levitating (feat. DaBaby),91,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064,4,pop
Lauv,"fuck, i’m lonely - stripped",46,0.735,0.378,9,-6.842,1,0.0488,0.209,0.0,0.0737,0.726,95.073,187333,4,pop
The Knack,My Sharona,73,0.586,0.7,0,-9.558,1,0.0363,0.0589,0.00125,0.0318,0.897,147.245,295400,4,pop
JC Stewart,Break My Heart - Piano Acoustic,58,0.448,0.247,6,-10.454,0,0.0466,0.943,3.61e-05,0.109,0.276,134.5,218293,4,pop
Cali Swag District,Teach Me How to Dougie,69,0.846,0.438,11,-4.981,1,0.141,0.2,9.43e-05,0.0939,0.512,85.013,237480,4,pop
Eyal Golan,באור גדול,54,0.595,0.489,9,-6.947,0,0.0427,0.636,0.0,0.114,0.489,139.723,190500,4,pop
Arlissa,Rules,45,0.627,0.688,1,-4.883,0,0.0682,0.171,2.29e-06,0.131,0.224,155.955,193875,4,pop
Dudu Aharon,הכל קורה בתל אביב,24,0.6,0.879,4,-3.43,0,0.129,0.266,0.0,0.096,0.697,169.977,198360,4,pop
Lil Tecca,Never Left,83,0.807,0.659,11,-6.92,1,0.332,0.0224,0.0,0.309,0.438,82.465,168727,4,pop
Duke Dumont,Alter Ego,28,0.733,0.903,8,-6.019,1,0.0627,0.00592,0.489,0.0803,0.728,124.992,205497,4,pop
Eden Ben Zaken,מנגינה,29,0.57,0.458,9,-5.935,0,0.0236,0.502,2.35e-06,0.134,0.19,93.088,217529,4,pop
LMFAO,Party Rock Anthem,73,0.751,0.736,5,-4.168,0,0.156,0.0206,0.0,0.265,0.352,130.014,262147,4,pop
ECHO,Oh My Life,23,0.675,0.548,9,-6.857,0,0.0463,0.327,0.00308,0.0699,0.0857,90.023,205333,4,pop
Ofenbach,Wasted Love (feat. Lagique),87,0.734,0.855,6,-4.578,0,0.135,0.0821,4.73e-06,0.0901,0.54,121.955,139563,4,pop
Blinky Bill,"Jam Now, Simmer Down",49,0.689,0.65,6,-8.988,1,0.265,0.148,0.443,0.44,0.547,198.077,198930,4,pop
Tesher,Jalebi Baby,77,0.68,0.895,2,-7.144,1,0.0378,0.0156,0.000374,0.145,0.824,93.037,189375,4,pop
Mc Zaac,Desce Pro Play (PA PA PA),71,0.935,0.71,11,-5.085,0,0.158,0.0769,1.92e-06,0.173,0.635,100.009,168507,4,pop
Alexander 23,Come Here and Leave Me Alone,57,0.691,0.388,1,-12.401,0,0.0537,0.767,0.00337,0.0996,0.304,117.001,186130,4,pop
Desi Valentine,One More Touch,49,0.633,0.714,4,-5.773,0,0.0476,0.00368,0.0,0.134,0.589,132.04,225909,4,pop
Nicky Jam,Muévelo,74,0.594,0.808,7,-2.409,1,0.0489,0.415,1.39e-05,0.565,0.919,188.09,194892,4,pop
Martin Garrix,We Are The People (feat. Bono & The Edge) - Official UEFA EURO 2020 Song,77,0.66,0.733,0,-4.619,1,0.0359,0.248,8.96e-06,0.17,0.304,119.933,217000,4,pop
MK,Chemical,19,0.717,0.762,9,-7.419,1,0.0398,0.0456,0.758,0.0866,0.408,122.022,162318,4,pop
Machine Gun Kelly,love race (feat. Kellin Quinn),81,0.517,0.848,10,-4.054,1,0.0521,0.00581,0.0,0.214,0.429,95.906,188779,4,pop
Omer Adam,שגרה מפוארת,46,0.783,0.398,1,-7.309,1,0.0502,0.831,0.0,0.114,0.23,122.767,172712,4,pop
Joel Corry,Head & Heart (feat. MNEK),90,0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,166028,4,pop
Scarlet Pleasure,Better - Acoustic,41,0.816,0.227,9,-9.775,0,0.0544,0.871,0.0,0.0993,0.579,79.052,164351,4,pop
Spin Doctors,Two Princes,71,0.543,0.912,7,-10.71,1,0.0601,0.00162,2.1e-06,0.0565,0.836,103.731,256733,4,pop
George Bar,וואלי,19,0.648,0.872,0,-6.924,0,0.0372,0.245,5.66e-06,0.0403,0.984,164.908,276133,4,pop
Van Halen,Jump - 2015 Remaster,79,0.572,0.835,0,-6.219,1,0.0317,0.171,0.000377,0.0702,0.795,129.981,241600,4,pop
Itay Levi,חצי בשבילי,46,0.727,0.53,10,-6.599,0,0.0939,0.459,2.29e-06,0.102,0.368,93.986,203085,4,pop
Calvin Harris,Promises (with Sam Smith),78,0.781,0.768,11,-5.991,1,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,213309,4,pop
Idan Amedi,גם וגם,27,0.605,0.662,2,-5.216,0,0.0347,0.452,0.0,0.0706,0.742,106.036,183347,4,pop
Tate McRae,bad ones,74,0.692,0.431,6,-11.884,1,0.0335,0.305,1.39e-05,0.132,0.327,138.925,183133,4,pop
iann dior,shots in the dark,0,0.58,0.651,6,-5.537,0,0.0459,0.0275,0.0,0.102,0.562,157.888,188584,4,pop
Young Rising Sons,Skeletons,32,0.591,0.758,8,-2.522,1,0.0317,0.0254,0.0494,0.371,0.543,97.03,197938,4,pop
La Niña De La Puebla,Los Campanilleros,34,0.417,0.222,0,-10.012,0,0.0422,0.944,0.0,0.11,0.584,74.986,197827,4,pop
James Bay,Bad,5,0.549,0.413,4,-5.588,1,0.0362,0.756,0.0,0.0939,0.291,139.984,225920,4,pop
Anson Seabra,Magazines,46,0.775,0.424,5,-12.276,1,0.0675,0.511,0.0,0.123,0.191,114.95,220050,4,pop
Mergui,לא יוצא למסיבות,47,0.818,0.553,0,-5.694,1,0.0882,0.107,4.24e-06,0.118,0.842,118.043,199322,4,pop
Ladytron,Seventeen,70,0.642,0.794,8,-7.908,1,0.0309,6.98e-05,0.348,0.146,0.785,119.55,277867,4,pop
T-Pain,Up Down (Do This All Day) (feat. B.o.B),73,0.777,0.497,5,-6.846,0,0.056,0.256,0.0,0.295,0.465,96.994,231093,4,pop
Concha Piquer,A la lima y al limón - Remastered,27,0.554,0.395,0,-11.648,1,0.107,0.967,5.95e-05,0.378,0.765,82.882,195779,4,pop
Maren Morris,The Bones,75,0.561,0.597,11,-6.0,0,0.0405,0.286,0.0,0.0979,0.355,76.826,197299,4,pop
Winona Oak,Piano In The Sky,58,0.5,0.28,7,-10.764,0,0.0404,0.88,2.6e-06,0.102,0.0832,92.457,190253,4,pop
Itay Levi,חסרה לי בנוף,31,0.559,0.745,1,-5.775,0,0.081,0.43,0.0,0.105,0.213,147.155,202449,4,pop
The Darkness,I Believe in a Thing Called Love,69,0.442,0.846,4,-5.214,1,0.0764,0.0538,4.71e-06,0.282,0.622,128.235,217653,4,pop
Justin Bieber,Hold On,89,0.658,0.634,1,-5.797,0,0.0413,0.0106,0.0,0.132,0.29,139.98,170813,4,pop
Kali Uchis,telepatía,94,0.653,0.524,11,-9.016,0,0.0502,0.112,0.0,0.203,0.553,83.97,160191,4,pop
Arlo Parks,Caroline,60,0.596,0.576,10,-7.955,1,0.0388,0.376,0.0904,0.107,0.485,160.176,216933,4,pop
Ryan Woods,King of the Basement,52,0.522,0.577,7,-6.688,0,0.0319,0.0671,0.000215,0.288,0.662,80.989,264821,3,pop
Lit,My Own Worst Enemy,72,0.494,0.946,4,-2.757,1,0.0637,0.00129,0.0,0.398,0.741,103.408,169027,4,pop
Ishay Levi,ליסה ליסה,26,0.678,0.573,0,-9.115,0,0.0288,0.348,0.0,0.111,0.757,100.497,242800,4,pop
Dudu Aharon,בייבי,18,0.743,0.701,1,-6.362,0,0.0508,0.101,0.0,0.0493,0.721,95.984,211321,4,pop
All Time Low,Once In A Lifetime,68,0.492,0.911,1,-3.891,0,0.113,0.015,0.0,0.345,0.429,168.024,189543,4,pop
LOVA,Lonely Ones,56,0.643,0.407,2,-7.36,1,0.102,0.613,0.0,0.147,0.47,143.786,187552,4,pop
Moshe Peretz,כוס של יין,42,0.793,0.782,2,-6.585,1,0.0524,0.16,0.0,0.0645,0.707,112.079,196495,4,pop
Eden Hason,שקיעות אדומות,58,0.585,0.394,6,-9.016,0,0.0321,0.676,0.0,0.119,0.345,84.018,212963,4,pop
Eyal Golan,שקרים,33,0.461,0.597,6,-4.821,0,0.0312,0.124,0.0,0.107,0.296,149.77,225133,4,pop
Jubël,Dumb,60,0.728,0.636,5,-5.824,1,0.0366,0.194,2.57e-05,0.515,0.433,124.023,192848,4,pop
Rihanna,Desperado,76,0.685,0.61,0,-5.221,0,0.0439,0.323,0.0,0.102,0.323,94.384,186467,3,pop
Daya,First Time,65,0.552,0.628,0,-6.897,1,0.292,0.701,1.9e-05,0.399,0.672,101.928,146910,4,pop
Will Paquin,Chandelier,62,0.331,0.5,2,-9.119,0,0.0514,0.677,6.61e-06,0.116,0.421,86.963,127465,4,pop
The Script,The Last Time - Acoustic,48,0.627,0.628,5,-5.111,1,0.0295,0.102,0.0,0.121,0.296,132.021,196534,4,pop
Antonita Romero,Las Cosas Del Querer (Original Mix),25,0.604,0.67,1,-11.053,1,0.0428,0.767,0.361,0.0948,0.97,100.492,106789,4,pop
Megan Davies,New Eyes - Acoustic,53,0.767,0.26,0,-9.315,1,0.0365,0.817,0.0,0.125,0.718,100.054,173400,4,pop
Runtown,Luva Luva,47,0.769,0.752,2,-5.164,0,0.102,0.11,0.00191,0.181,0.431,98.018,158981,4,pop
Justin Bieber,There She Go (feat. Lil Uzi Vert),73,0.725,0.716,9,-5.448,1,0.0349,0.00945,0.0,0.119,0.904,150.074,215020,4,pop
Brent Faiyaz,"Gravity (feat. Tyler, The Creator)",79,0.539,0.615,1,-8.746,0,0.252,0.173,0.0056,0.144,0.493,163.924,214693,4,pop
Nick Waterhouse,Say I Wanna Know,34,0.463,0.57,4,-6.573,0,0.0864,0.459,0.0,0.091,0.628,62.411,249907,4,pop
Omer Adam,קוקוריקו,51,0.787,0.497,10,-7.728,0,0.0396,0.56,0.0,0.304,0.504,111.991,171000,4,pop
Adele,Rolling in the Deep,77,0.73,0.769,8,-5.114,1,0.0298,0.138,0.0,0.0473,0.507,104.948,228093,4,pop
Phantom Planet,California - Tchad Blake Mix,64,0.4,0.805,4,-7.305,1,0.0407,0.0387,5.4e-05,0.109,0.324,158.459,193933,4,pop
Lethal Bizzle,Pow (Forward),43,0.535,0.771,1,-8.135,1,0.393,0.00389,0.0,0.37,0.487,137.766,181520,4,hiphop
Aretha Franklin,Jump to It,42,0.823,0.611,8,-8.899,0,0.136,0.127,4.08e-06,0.206,0.872,119.569,401267,4,hiphop
Remy Ma,Whuteva,41,0.684,0.864,1,-5.081,0,0.227,0.0668,0.0,0.358,0.657,100.624,226067,4,hiphop
Buckshot LeFonque,Breakfast At Denny's,42,0.76,0.65,7,-9.233,1,0.189,0.00805,0.524,0.0772,0.581,87.433,354640,4,hiphop
Preditah,Sword,16,0.53,0.308,1,-11.618,0,0.424,0.292,0.83,0.0837,0.346,212.049,306880,3,hiphop
Kodak Black,Z Look Jamaican,67,0.953,0.466,1,-6.297,1,0.0572,0.0381,0.0,0.0916,0.584,123.044,156113,4,hiphop
Lil Muk,Living Life (feat. Lil Baby & YXNG K.A.),45,0.723,0.621,11,-7.495,0,0.373,0.0523,0.0,0.12,0.34,91.947,178280,4,hiphop
Tuna,רוק 30,45,0.515,0.841,3,-7.014,0,0.192,0.167,8.2e-06,0.0768,0.608,86.85,277241,4,hiphop
DaBaby,Masterpiece,79,0.781,0.726,0,-4.213,1,0.0836,0.0299,0.0,0.093,0.436,139.988,181714,4,hiphop
Erica Banks,Buss It (feat. Travis Scott),70,0.898,0.529,9,-5.428,1,0.2,0.0699,0.0,0.536,0.8,110.032,188963,4,hiphop
The Game,Dreams,58,0.63,0.78,6,-5.353,1,0.221,0.00499,0.0,0.206,0.281,155.779,286453,4,hiphop
Larry June,Wait On Me,53,0.439,0.854,3,-7.005,0,0.383,0.285,0.0,0.0823,0.586,148.73,192000,4,hiphop
Guru,Feel The Music,51,0.774,0.601,1,-10.588,0,0.118,0.0241,0.00312,0.285,0.854,100.357,237122,4,hiphop
Central Cee,Loading,77,0.85,0.68,3,-6.18,0,0.338,0.732,0.0,0.0964,0.694,144.006,173333,1,hiphop
24kGoldn,Company (feat. Future),79,0.831,0.727,8,-3.657,0,0.169,0.447,0.0,0.111,0.703,125.068,213080,4,hiphop
Roll Deep,When I'm 'Ere,42,0.554,0.922,11,-3.304,0,0.269,0.394,0.0,0.155,0.678,137.105,184840,4,hiphop
Yung Raja,Mami,50,0.915,0.641,10,-8.739,0,0.188,0.00941,1.73e-06,0.111,0.77,139.97,178286,4,hiphop
P Money,This Year,54,0.824,0.634,2,-8.894,1,0.164,0.0193,0.0,0.12,0.229,139.975,178639,4,hiphop
Post Malone,Enemies (feat. DaBaby),77,0.542,0.674,6,-4.169,1,0.21,0.0588,0.0,0.0955,0.667,76.388,196760,4,hiphop
BROCKHAMPTON,BUZZCUT (feat. Danny Brown),66,0.717,0.758,2,-5.576,0,0.268,0.0791,7.08e-06,0.293,0.252,91.983,201160,4,hiphop
The Alchemist,Nobles (feat. Earl Sweatshirt & Navy Blue),59,0.405,0.519,1,-9.859,1,0.0899,0.434,0.0,0.684,0.186,115.776,136893,5,hiphop
Joyner Lucas,Ramen & OJ,82,0.597,0.571,1,-6.205,0,0.293,0.492,0.0,0.093,0.165,106.196,218448,3,hiphop
Talib Kweli,I Try,38,0.732,0.687,11,-6.866,0,0.0765,0.000659,0.00117,0.255,0.474,96.74,265107,4,hiphop
Future,Drankin N Smokin,79,0.752,0.658,0,-6.297,1,0.342,0.0421,0.0,0.0927,0.387,151.951,213520,4,hiphop
Hadag Nahash,הכאפה המצלצלת,25,0.804,0.77,10,-6.699,0,0.0438,0.00203,2.04e-05,0.0591,0.873,159.988,223560,4,hiphop
Cam’ron,Horse & Carriage (feat. Mase),46,0.879,0.423,1,-10.511,1,0.257,0.0133,0.000233,0.155,0.586,99.737,241533,4,hiphop
Rowdy Rebel,9 Bridge,68,0.642,0.589,5,-7.392,0,0.302,0.124,0.0,0.0868,0.72,95.543,147963,5,hiphop
DMX,X Gon' Give It To Ya,78,0.761,0.899,10,-3.09,0,0.183,0.0135,0.0,0.0719,0.673,95.027,217587,4,hiphop
Kalan.FrFr,Never Lose You,56,0.561,0.598,11,-8.339,0,0.0882,0.395,0.0,0.108,0.477,97.697,181867,4,hiphop
Peled,זה לא מעניין אותי,31,0.825,0.726,10,-6.953,0,0.265,0.241,0.0,0.122,0.389,133.006,188295,4,hiphop
Latto,The Biggest,14,0.55,0.589,1,-6.656,1,0.449,0.0999,0.0,0.714,0.265,96.237,143333,5,hiphop
Arrested Development,People Everyday,61,0.843,0.508,10,-13.918,1,0.221,0.00852,2.1e-06,0.648,0.704,91.094,298773,4,hiphop
Guvna B,Very Original,6,0.831,0.636,3,-8.827,0,0.346,0.389,0.0,0.0925,0.749,134.923,188443,4,hiphop
Outkast,"So Fresh, So Clean",70,0.725,0.64,5,-7.905,0,0.332,0.0281,0.0,0.099,0.915,166.028,240027,3,hiphop
Soulja Boy,She Make It Clap,74,0.941,0.471,1,-13.087,1,0.494,0.0308,0.00838,0.0837,0.487,119.898,111550,4,hiphop
Moneybagg Yo,Wockesha,75,0.582,0.537,0,-9.229,1,0.619,0.129,0.0,0.0749,0.771,82.103,180930,4,hiphop
Mike Crigs,Moving Fast (feat. Jared Anthony),40,0.639,0.641,8,-6.187,1,0.037,0.227,0.0,0.104,0.665,124.953,144000,4,hiphop
PnB Rock,Rose Gold (feat. King Von),66,0.574,0.623,0,-5.096,0,0.191,0.184,0.0,0.103,0.529,79.993,192000,4,hiphop
Margaret Walker,Ballad for Phyllis Wheatley,4,0.697,0.0545,0,-25.831,1,0.678,0.596,0.0,0.548,0.312,132.476,144213,3,hiphop
Brakeman,Jeepers Creepers,25,0.329,0.928,11,-3.435,1,0.346,0.026,0.0,0.276,0.338,83.293,198857,5,hiphop
Lil Gotit,Burnt N Turnt,64,0.943,0.537,10,-6.855,0,0.256,0.342,0.0,0.19,0.59,122.008,184918,4,hiphop
Day Sulan,Bailar,58,0.852,0.535,7,-5.94,0,0.0896,0.439,8.18e-05,0.246,0.483,103.007,205056,4,hiphop
Ravid Plotnik,ממשלה זה פשע מאורגן (נצ'י נצ'),31,0.475,0.499,5,-7.569,0,0.0681,0.279,3.58e-05,0.453,0.338,109.689,209853,1,hiphop
Bun B,Get Throwed,56,0.704,0.803,7,-4.77,1,0.351,0.165,0.0,0.54,0.529,124.087,233840,4,hiphop
BlueBucksClan,Lil League (feat. Quavo & Hit-Boy),54,0.828,0.489,1,-5.644,1,0.238,0.0124,0.0,0.0721,0.136,98.002,129796,3,hiphop
The Sequence,Funk You Up - 12'' Version,24,0.921,0.768,0,-5.735,1,0.311,0.507,0.000738,0.053,0.775,103.713,652320,4,hiphop
SOB X RBE,Paramedic!,67,0.856,0.652,1,-5.324,1,0.143,0.177,0.0,0.193,0.471,97.017,219307,4,hiphop
DJ Scream,"Hood Rich Anthem (feat. 2 Chainz, Future, Waka Flocka Flame, Yo Gotti & Gucci Mane)",32,0.73,0.829,2,-4.11,1,0.191,0.137,0.0,0.37,0.54,135.914,192533,4,hiphop
42 Dugg,Maybach (feat. Future),21,0.506,0.473,5,-9.79,1,0.331,0.0229,0.0,0.15,0.199,100.535,199086,5,hiphop
Lil Baby,Real As It Gets (feat. EST Gee),80,0.779,0.705,6,-5.891,0,0.163,0.00471,0.0,0.0971,0.196,140.005,192804,4,hiphop
Gucci Mane,Jumped Out the Whip (feat. A$AP Rocky),43,0.811,0.46,2,-5.924,1,0.351,0.0694,0.0,0.13,0.4,141.937,216373,4,hiphop
Jack Harlow,Already Best Friends (feat. Chris Brown),77,0.873,0.575,10,-7.284,0,0.0702,0.0891,0.0,0.108,0.872,103.005,197031,4,hiphop
Godfather Don,Watching You,44,0.876,0.5,11,-8.274,0,0.298,0.155,0.0,0.107,0.559,106.096,207993,4,hiphop
Yung Baby Tate,I Am (feat. Flo Milli),73,0.932,0.835,1,-3.905,1,0.156,0.105,0.0,0.0847,0.926,144.02,182465,4,hiphop
Tuna,לא מהם,36,0.726,0.573,9,-9.448,0,0.286,0.401,1.19e-05,0.291,0.545,169.951,135741,4,hiphop
Saucy Santana,Walk,53,0.937,0.684,10,-5.634,0,0.215,0.00129,4.12e-05,0.0718,0.496,100.029,143977,4,hiphop
JayDaYoungan,Spot Em,52,0.653,0.628,5,-8.446,0,0.382,0.212,0.0,0.0945,0.809,164.861,170917,4,hiphop
Amit Ulman,אלוהים בג'ימייל (געגועים),20,0.602,0.732,11,-7.194,0,0.299,0.357,0.0,0.106,0.662,80.892,308689,4,hiphop
Time Zone,Wildstyle,26,0.805,0.942,10,-8.607,0,0.0767,0.189,0.254,0.103,0.697,111.876,498827,4,hiphop
Jalen Santoy,Mad Nice,41,0.806,0.741,0,-7.535,1,0.209,0.278,0.0,0.0985,0.286,105.022,148793,4,hiphop
THE SCOTTS,THE SCOTTS,82,0.716,0.537,0,-7.648,0,0.0514,0.233,0.0,0.157,0.28,129.979,165978,4,hiphop
G-Eazy,Provide (feat. Chris Brown & Mark Morrison),75,0.652,0.803,9,-4.116,0,0.238,0.0165,0.0,0.307,0.661,95.025,186350,4,hiphop
XXXTENTACION,Revenge,77,0.746,0.251,11,-16.169,0,0.259,0.782,0.00203,0.106,0.18,139.999,120027,4,hiphop
Queen Latifah,Ladies First,42,0.846,0.795,11,-9.984,1,0.28,0.0572,0.0,0.307,0.874,107.319,238693,4,hiphop
Ravid Plotnik,כפרה שלי,46,0.67,0.331,4,-13.178,0,0.195,0.73,0.0,0.104,0.853,160.016,261907,4,hiphop
Babyface Ray,A Million Cash Race,51,0.627,0.681,1,-4.468,1,0.366,0.0881,0.0,0.378,0.369,173.143,122916,4,hiphop
K-Trap,Warm,57,0.883,0.658,7,-6.162,1,0.31,0.371,0.0,0.134,0.658,143.028,152323,4,hiphop
Yung Baby Tate,Eenie Meenie,66,0.884,0.639,1,-6.832,0,0.246,0.111,1.66e-06,0.608,0.625,100.049,142176,4,hiphop
Shekel,ילד עיקש,25,0.833,0.727,2,-5.387,1,0.198,0.0485,0.0,0.12,0.414,104.985,188047,4,hiphop
Benaddict,Home - Village Live,40,0.534,0.516,9,-9.877,1,0.163,0.225,0.00433,0.138,0.693,89.358,269982,4,hiphop
Master P,Make 'Em Say Ugh,55,0.601,0.73,6,-6.88,0,0.464,0.0121,0.0,0.229,0.371,83.233,306467,4,hiphop
Lil Poppa,Mask On,52,0.758,0.631,11,-6.645,0,0.43,0.13,0.0,0.164,0.25,139.925,164752,4,hiphop
Slimelife Shawty,Clappers (feat. 42 Dugg),56,0.827,0.513,1,-8.109,0,0.335,0.0131,0.0,0.0823,0.249,133.005,202588,4,hiphop
Nicki Minaj,Seeing Green (with Drake & Lil Wayne),80,0.573,0.867,5,-2.876,0,0.168,0.0853,0.0,0.38,0.231,74.861,339506,4,hiphop
SR,Practice Makes Perfect,70,0.801,0.633,4,-7.069,1,0.293,0.102,0.0,0.354,0.945,139.931,167143,4,hiphop
Tzaguy Boy,קל לדבר,27,0.626,0.542,4,-10.268,1,0.0933,0.257,2.75e-05,0.103,0.637,105.012,201143,4,hiphop
Taliifah,Karma,24,0.628,0.777,9,-5.642,1,0.208,0.254,0.0,0.0905,0.452,72.346,165517,4,hiphop
Ying Yang Twins,Wait (The Whisper Song),59,0.933,0.513,7,-13.203,1,0.347,0.00112,0.00248,0.107,0.595,102.017,179160,4,hiphop
Fumez The Engineer,M24 x Fumez the Engineer - Plugged In,68,0.805,0.622,1,-9.597,1,0.386,0.106,0.0,0.0973,0.774,148.093,152432,4,hiphop
Sleepy Hallow,2055,72,0.775,0.518,6,-5.857,0,0.311,0.455,0.0,0.121,0.646,161.011,123987,4,hiphop
Nati Hassid,ילד גבר,24,0.693,0.699,0,-5.763,0,0.433,0.0964,0.0,0.334,0.765,185.919,198516,4,hiphop
Cohen@Mushon,Hype,21,0.634,0.942,7,-1.765,1,0.387,0.291,0.0,0.463,0.739,91.069,215625,4,hiphop
Darq E Freaker,Red Velvet,9,0.654,0.901,9,-2.066,0,0.0504,0.0011,0.25,0.349,0.669,140.004,194943,4,hiphop
Young M.A,Don Diva,16,0.82,0.726,8,-4.572,1,0.296,0.023,0.0,0.139,0.631,176.189,183515,4,hiphop
SZA,Good Days,89,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,279204,4,hiphop
הלם תרבות,אלף קנאים,23,0.753,0.722,10,-5.348,0,0.305,0.533,0.0,0.599,0.858,92.152,260543,4,hiphop
Bizzy Banks,City Hot,50,0.779,0.755,11,-4.132,1,0.298,0.143,0.0,0.485,0.414,139.933,141912,4,hiphop
Narkis,ממה אתה בורח,36,0.702,0.763,2,-5.237,0,0.0518,0.0175,1.91e-05,0.189,0.6,103.004,223511,4,hiphop
Hadag Nahash,סע!,40,0.83,0.819,1,-4.78,0,0.0686,0.00741,5.45e-06,0.134,0.846,113.002,228117,4,hiphop
